"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 27, 2019","141.63","135.40","142.18","135.33","177.22K","4.60%"
"Mar 26, 2019","135.40","135.14","136.20","134.03","112.62K","0.19%"
"Mar 25, 2019","135.14","137.81","138.70","133.31","114.06K","-1.94%"
"Mar 24, 2019","137.81","139.28","139.33","136.73","59.31K","-1.06%"
"Mar 23, 2019","139.28","137.86","140.40","137.83","81.48K","0.88%"
"Mar 22, 2019","138.07","136.99","139.40","136.45","90.28K","0.77%"
"Mar 21, 2019","137.01","142.17","142.62","135.41","172.12K","-3.57%"
"Mar 20, 2019","142.08","141.69","142.86","138.99","120.36K","0.32%"
"Mar 19, 2019","141.63","140.59","142.28","139.89","82.39K","0.70%"
"Mar 18, 2019","140.65","141.71","144.88","139.16","148.54K","-0.75%"
"Mar 17, 2019","141.71","143.79","143.79","140.39","119.26K","-1.45%"
"Mar 16, 2019","143.80","139.30","147.29","139.30","195.60K","3.34%"
"Mar 15, 2019","139.15","134.71","141.00","134.69","262.27K","3.29%"
"Mar 14, 2019","134.72","134.44","138.14","132.33","144.50K","0.14%"
"Mar 13, 2019","134.53","136.26","136.28","133.48","105.01K","-1.28%"
"Mar 12, 2019","136.27","135.41","137.76","131.38","189.90K","0.63%"
"Mar 11, 2019","135.41","138.20","138.76","134.10","168.75K","-2.02%"
"Mar 10, 2019","138.20","140.04","140.25","136.90","102.14K","-1.33%"
"Mar 09, 2019","140.06","136.18","141.65","135.54","172.80K","2.84%"
"Mar 08, 2019","136.19","140.03","143.01","133.24","254.40K","-2.75%"
"Mar 07, 2019","140.04","140.58","142.94","138.56","144.04K","-0.38%"
"Mar 06, 2019","140.57","140.00","143.77","137.00","236.68K","0.41%"
"Mar 05, 2019","140.00","128.39","140.66","127.74","302.89K","9.04%"
"Mar 04, 2019","128.39","133.27","133.87","125.97","217.50K","-3.68%"
"Mar 03, 2019","133.29","135.60","137.84","130.81","110.32K","-1.70%"
"Mar 02, 2019","135.60","138.40","139.31","133.00","179.05K","-2.02%"
"Mar 01, 2019","138.39","138.17","141.43","137.84","112.40K","0.16%"
"Feb 28, 2019","138.17","137.71","142.54","136.48","327.68K","0.33%"
"Feb 27, 2019","137.71","139.42","143.64","129.60","372.48K","-1.32%"
"Feb 26, 2019","139.55","141.22","141.62","137.01","139.96K","-1.14%"
"Feb 25, 2019","141.16","135.31","144.77","135.21","322.37K","4.47%"
"Feb 24, 2019","135.12","161.54","169.90","135.06","879.79K","-16.25%"
"Feb 23, 2019","161.34","151.27","163.42","148.97","442.93K","6.66%"
"Feb 22, 2019","151.27","148.44","152.16","146.16","349.02K","2.04%"
"Feb 21, 2019","148.25","151.67","153.59","145.58","324.59K","-2.25%"
"Feb 20, 2019","151.67","146.61","152.82","143.89","315.06K","3.45%"
"Feb 19, 2019","146.61","148.87","152.95","145.99","343.89K","-1.59%"
"Feb 18, 2019","148.98","136.27","151.86","135.71","677.47K","9.39%"
"Feb 17, 2019","136.19","124.68","138.24","124.49","520.13K","9.23%"
"Feb 16, 2019","124.68","123.78","126.85","123.78","122.63K","0.75%"
"Feb 15, 2019","123.75","122.57","126.48","122.20","179.54K","0.95%"
"Feb 14, 2019","122.58","123.76","126.25","122.51","180.68K","-1.03%"
